DEPTH,AC,SP,GR,RT
648.225,376.565,99.205,74.979,2.943
648.35,382.067,99.797,74.786,2.988
648.475,385.678,100.25,75.232,3.079
648.6,386.494,100.503,76.486,3.218
648.725,385.163,100.521,78.43,3.407
648.85,382.709,100.252,80.557,3.688
648.975,379.796,99.733,81.981,3.991
649.1,376.4,98.946,81.835,4.375
649.225,372.619,97.915,79.941,4.864
649.35,369.616,96.745,77.321,5.511
649.475,368.539,95.617,75.508,6.311
649.6,370.262,94.654,74.975,7.247
649.725,374.704,93.92,75.185,8.315
649.85,380.672,93.431,75.082,9.506
649.975,386.09,93.096,74.41,10.737
650.1,389.826,92.884,73.502,11.971
650.225,391.579,92.753,72.9,13.208
650.35,391.528,92.663,73.025,14.436
650.475,390.633,92.58,73.449,15.607
650.6,389.618,92.476,73.707,16.61
650.725,389.03,92.306,73.527,17.335
650.85,388.878,92.042,73.037,17.595
650.975,388.471,91.718,72.639,17.345
651.1,387.452,91.379,72.522,16.524
651.225,386.31,91.101,72.651,15.135
651.35,386.513,90.981,72.811,13.31
651.475,388.525,90.999,73.067,11.422
651.6,391.187,91.137,73.84,9.675
651.725,391.987,91.419,75.258,8.179
651.85,387.53,91.914,76.751,7.027
651.975,377.812,92.585,77.619,6.111
652.1,365.024,93.365,77.723,5.367
652.225,352.672,94.143,77.369,4.764
652.35,345.07,94.76,77.109,4.286
652.475,343.76,95.192,77.159,3.892
652.6,348.287,95.454,77.462,3.549
652.725,356.629,95.559,78.006,3.284
652.85,365.624,95.507,78.561,3.111
652.975,372.59,95.345,78.743,3.004
653.1,376.593,95.089,78.219,2.95
653.225,378.197,94.774,77.011,2.934
653.35,378.078,94.459,76.024,2.936
653.475,376.23,94.144,75.994,2.935
653.6,372.251,93.791,76.704,2.924
653.725,367.259,93.389,77.286,2.903
653.85,365.445,92.979,76.668,2.882
653.975,369.822,92.668,74.955,2.868
654.1,379.361,92.553,72.957,2.863
654.225,389.343,92.665,71.866,2.862
654.35,393.603,92.961,73.02,2.858
654.475,390.887,93.329,75.818,2.848
654.6,383.97,93.707,79.001,2.835
654.725,376.473,94.025,80.776,2.829
654.85,371.53,94.149,79.257,2.851
654.975,370.675,93.986,75.613,2.915
655.1,374.64,93.46,71.888,3.038
655.225,383.16,92.6,69.733,3.234
655.35,393.87,91.547,69.905,3.535
655.475,403.103,90.509,71.332,3.922
655.6,408.527,89.591,73.157,4.356
655.725,410.295,88.863,74.996,4.842
655.85,410.159,88.427,76.919,5.343
655.975,410.013,88.293,78.557,5.795
656.1,410.747,88.494,79.171,6.148
656.225,412.234,89.005,78.409,6.353
656.35,413.669,89.765,76.513,6.38
656.475,413.775,90.641,74.253,6.28
656.6,411.293,91.563,72.345,6.079
656.725,405.786,92.453,71.544,5.806
656.85,398.281,93.181,72.106,5.494
656.975,391.039,93.687,73.275,5.186
657.1,385.991,93.947,74.356,4.902
657.225,383.445,94.001,74.881,4.653
657.35,382.368,93.921,75.093,4.452
657.475,381.486,93.787,75.876,4.292
657.6,380.569,93.628,77.922,4.169
657.725,380.397,93.474,81.05,4.071
657.85,381.431,93.393,83.928,3.977
657.975,382.946,93.432,85.425,3.863
658.1,383.911,93.618,85.123,3.722
658.225,384.585,93.916,83.313,3.562
658.35,386.536,94.254,80.816,3.361
658.475,390.791,94.585,78.8,3.214
658.6,396.073,94.915,77.721,3.105
658.725,400.197,95.265,77.161,3.041
658.85,401.768,95.64,76.581,3.027
